id,name_short,name,typ,geschlecht,partei,regierungvor,regierungnach,power,bundesland
AA,AA,Artur Auernhammer,1,1,1,1,2,2,9
AB,AB,Annalena Baerbock,1,2,3,2,1,1,12
ABG,ABG,Agnieszka Brugger,1,2,3,2,1,2,8
ABL,ABL,Andreas Bleck,1,1,6,2,2,2,7
AD,AD,Alexander Dobrindt,1,1,1,1,2,2,9
ADA,ADA,Astrid Damerow,1,2,1,1,2,2,1
ADB,ADB,Anke Domscheit-Berg,1,2,5,2,2,2,12
AFD,AFD,Alternative für Deutschland,2,99,6,2,2,99,99
AG,AG,Alexander Gauland,1,1,6,2,2,2,12
AGE,AGE,Axel Gehrke,1,1,6,2,2,2,1
AGL,AGL,Alexander Graf Lambsdorff,1,1,4,2,1,2,5
AGR,AGR,Astrid Grotelüschen,1,2,1,1,2,2,3
AGU,AGU,Ates Gürpinar,1,1,5,2,2,2,9
AH,AH,Anton Hofreiter,1,1,3,2,1,2,9
AHA,AHA,Andre Hahn,1,1,5,2,2,2,14
AK,AK,Alexander Krauß,1,1,1,1,2,2,14
AKK,AKK,Annegret Kramp-Karrenbauer,1,2,1,1,2,1,10
AKU,AKU,Alexander Kulitz,1,1,4,2,1,2,8
AL,AL,Armin Laschet,1,1,1,1,2,1,5
ALAE,ALAE,Andreas G. Lämmel,1,1,1,1,2,2,14
ALE,ALE,Andreas Lenz,1,1,1,1,2,2,9
ALG,ALG,Albrecht Glaser,1,1,6,2,2,2,6
ALI,ALI,Andrea Lindholz,1,2,1,1,2,2,9
ALR,ALR,Albert Rupprecht,1,1,1,1,2,2,9
AM,AM,Angela Merkel,1,2,1,1,2,1,13
AMA,AMA,Amira Mohamed Ali,1,2,5,2,2,2,3
AMR,AMR,Andreas Mrosek,1,1,6,2,2,2,15
AMS,AMS,Astrid Mannes,1,2,1,1,2,2,6
ANCH,ANCH,Anna Christmann,1,2,3,2,1,2,8
ANHA,ANHA,Anja Hajduk,1,2,3,2,1,2,2
ANKA,ANKA,Anja Karliczek,1,2,1,1,2,2,5
ANLE,ANLE,Antje Lezius,1,2,1,1,2,2,8
ANST,ANST,Andreas Steier,1,1,1,1,2,2,7
AOE,AOE,Aydan Özoğuz,1,2,2,1,1,2,2
APH,APH,Armin-Paulus Hampel,1,1,6,2,2,2,3
AR,AR,Andreas Rimkus,1,1,2,1,1,2,5
AT,AT,Antje Tillmann,1,2,1,1,2,2,16
ATH,ATH,Alexander Throm,1,1,1,1,2,2,8
AU,AU,Andrew Ullmann,1,1,4,2,1,2,9
AUL,AUL,Alexander Ulrich,1,1,5,2,2,2,7
AVJ,AVJ,Ann Veruschka Jurisch,1,2,4,2,1,2,8
AW,AW,Alice Weidel,1,2,6,2,2,2,8
AWA,AWA,Andreas Wagner,1,1,5,2,2,2,9
AWG,AWG,Anja Weisgerber,1,2,1,1,2,2,9
AXKN,AXKN,Axel Knoerig,1,1,1,1,2,2,3
AXM,AXM,Axel Müller,1,1,1,1,2,2,8
BB,BB,Bernd Baumann,1,1,6,2,2,2,2
BBA,BBA,Bärbel Bas,1,2,2,1,1,2,5
BBB,BBB,Birke Bull-Bischoff,1,2,5,2,2,2,15
BD,BD,Bernhard Daldrup,1,1,2,1,1,2,5
BDS,BDS,Bijan Djir-Sarai,1,1,4,2,1,2,5
BEFA,BEFA,Bernd Fabritius,1,1,1,1,2,2,9
BEVG,BEVG,Berengar Elsner von Gronow,1,1,6,2,2,2,5
BH,BH,Britta Haßelmann,1,2,3,2,1,2,5
BHE,BHE,Barbara Hendricks,1,2,2,1,1,2,5
BL,BL,Bernhard Loos,1,1,1,1,2,2,9
BS,BS,Benjamin Strasser,1,1,4,2,1,2,8
BSW,BSW,Bettina Stark-Watzinger,1,2,4,2,1,2,6
BVS,BVS,Beatrix von Storch,1,2,6,2,2,1,11
BW,BW,Bernd Westphal,1,1,2,1,1,2,3
BWR,BWR,Beate Walter-Rosenheimer,1,2,3,2,1,2,9
CAD,CAD,Christine Aschenberg-Dugnus,1,2,4,2,1,2,1
CALAY,CALAY,Caren Lay,1,2,5,2,2,2,14
