from,to,kommentar,tonalitaet,zeit,folge,thema,weight
BB,JH,4,2,238,2,3,1
CDU,JH,1,1,238,2,3,1
SPD,AOE,1,1,238,2,3,1
LINKE,AOE,2,2,238,2,3,1
LINKE,AOE,2,2,238,2,3,1
SPD,AOE,1,1,238,2,3,1
AGL,AOE,2,2,238,1,3,1
SPD,AOE,1,1,238,2,3,1
SPD,AOE,1,1,238,2,3,1
CHH,AOE,2,4,238,2,3,1
SPD,AOE,1,1,238,2,3,1
DD,AOE,6,2,238,2,3,1
SPD,AOE,1,1,238,2,3,1
CDU,AOE,1,1,238,2,3,1
LINKE,DD,1,1,238,2,3,1
LINKE,AOE,3,2,238,2,3,1
LINKE,AOE,2,2,238,2,3,1
LINKE,AOE,2,2,238,2,3,1
SPD,AOE,1,1,238,2,3,1
CDU,AOE,1,1,238,2,3,1
AFD,APH,1,1,238,2,3,1
AFD,APH,1,1,238,2,3,1
AFD,APH,1,1,238,2,3,1
AFD,APH,1,1,238,2,3,1
SPD,APH,2,2,238,2,3,1
AGL,APH,6,2,238,2,3,1
AG,APH,1,1,238,2,3,1
AFD,APH,1,1,238,2,3,1
AFD,APH,1,1,238,2,3,1
AGL,APH,6,2,238,1,3,1
JK,AGL,7,2,238,1,3,1
AGL,JK,7,2,238,1,3,1
JK,AGL,7,2,238,1,3,1
AGL,JK,7,2,238,2,3,1
CDU,NR,1,1,238,2,3,1
CDU,NR,1,1,238,2,3,1
SPD,NR,1,1,238,2,3,1
FDP,NR,1,1,238,2,3,1
APH,NR,6,2,238,2,3,1
CDU,NR,1,1,238,2,3,1
BB,NR,6,2,238,2,3,1
AFD,NR,1,2,238,2,3,1
AFD,NR,8,2,238,2,3,1
CDU,NR,1,1,238,2,3,1
GRUENE,ON,1,1,238,2,3,1
BH,NR,6,3,238,2,3,1
AB,NR,6,2,238,2,3,1
CDU,NR,1,1,238,2,3,1
CDU,NR,1,1,238,2,3,1
ON,NR,2,4,238,2,3,1
APH,NR,6,2,238,2,3,1
CDU,NR,1,1,238,2,3,1
SPD,NR,1,1,238,2,3,1
CDU,NR,1,1,238,2,3,1
DD,NR,6,2,238,2,3,1
AFD,NR,4,2,238,2,3,1
CDU,NR,1,1,238,2,3,1
CDU,NR,1,1,238,2,3,1
LINKE,MB,1,1,238,2,3,1
LINKE,MB,1,1,238,2,3,1
DD,MB,6,1,238,2,3,1
LINKE,MB,1,1,238,2,3,1
LINKE,MB,1,1,238,2,3,1
LINKE,MB,1,1,238,2,3,1
GRUENE,MB,1,1,238,2,3,1
CDU,RB,1,1,238,2,3,1
DD,RB,6,2,238,2,3,1
CDU,RB,1,1,238,2,3,1
CDU,RB,1,1,238,2,3,1
AFD,RB,2,4,238,2,3,1
CDU,RB,1,1,238,2,3,1
MASZ,RB,6,2,238,2,3,1
AFD,RB,2,4,238,2,3,1
CDU,RB,1,1,238,2,3,1
CDU,RB,1,1,238,2,3,1
SPD,RB,2,4,238,2,3,1
LINKE,RB,2,2,238,2,3,1
AD,RB,6,1,238,2,3,1
MR,RB,2,4,238,2,3,1
LINKE,RB,2,2,238,2,3,1
CDU,RB,1,1,238,2,3,1
AD,RB,6,1,238,2,3,1
CDU,RB,1,1,238,2,3,1
AD,RB,6,1,238,2,3,1
LINKE,RB,2,2,238,2,3,1
MRA,RB,4,2,238,1,3,1
MASZ,RB,6,2,238,1,3,1
CDU,JK,3,2,238,2,3,1
AGL,JK,6,2,238,2,3,1
LINKE,JK,1,1,238,2,3,1
AG,JK,6,1,238,1,3,1
AGL,JK,6,4,238,1,3,1
MASZ,JK,6,4,238,1,3,1
AFD,RB,2,4,238,2,3,1
CDU,RB,1,1,238,2,3,1
FDP,RB,1,1,238,2,3,1
CDU,RB,1,1,238,2,3,1
GRUENE,RB,2,4,238,2,3,1
CDU,RB,1,1,238,2,3,1
SPD,SM,1,1,238,2,3,1
AGL,SM,6,1,238,2,3,1
SPD,SM,1,1,238,2,3,1
CDU,SM,1,1,238,2,3,1
FDP,SM,1,1,238,2,3,1
SPD,SM,1,1,238,2,3,1
CDU,SM,1,1,238,2,3,1
FDP,SM,1,1,238,2,3,1
